Block_number;Block_type;Trial_number;Trial_type;RT;Block_pleasure;Balance
4;True;3;near_miss;;2;3
4;True;4;win;;2;6
4;True;5;miss;;2;6
4;True;6;near_miss;;2;6
4;True;7;miss;;2;6
4;True;8;near_miss;;2;6
4;True;9;miss;;2;6
4;True;10;miss;;2;6
4;True;11;miss;;2;6
4;True;12;near_miss;;2;6
4;True;13;win;;2;9
4;True;14;near_miss;;2;9
4;True;15;win;;2;12
4;True;16;miss;;2;12
4;True;17;miss;;2;12
4;True;18;miss;;2;12
4;True;19;miss;;2;12
4;True;20;miss;;2;12
4;True;21;near_miss;;2;12
4;True;22;miss;;2;12
4;True;23;near_miss;;2;12
4;True;24;miss;;2;12
4;True;25;miss;;2;12
4;True;26;near_miss;;2;12
4;True;27;near_miss;;2;12
4;True;28;near_miss;;2;12
4;True;29;miss;;2;12
4;True;30;near_miss;;2;12
4;True;31;miss;;2;12
4;True;32;miss;;2;12
4;True;33;near_miss;;2;12
4;True;34;miss;;2;12
4;True;35;near_miss;;2;12
4;True;36;miss;;2;12
4;True;37;miss;;2;12
4;True;38;near_miss;;2;12
4;True;39;near_miss;;2;12
4;True;40;miss;;2;12
4;True;41;miss;;2;12
4;True;42;near_miss;;2;12
4;True;43;near_miss;;2;12
4;True;44;miss;;2;12
4;True;45;near_miss;;2;12
4;True;46;miss;;2;13
4;True;47;miss;;2;13
4;True;48;miss;;2;13
4;True;49;miss;;2;13
4;True;50;miss;;2;13
5;False;1;miss;1.1061186790466309;4;0
5;False;2;win;0.3947768211364746;4;3
5;False;3;win;0.025222063064575195;4;6
5;False;4;miss;0.15526819229125977;4;6
5;False;5;miss;1.395150899887085;4;6
5;False;6;miss;0.888253927230835;4;6
5;False;7;miss;0.41135597229003906;4;6
5;False;8;miss;0.3602581024169922;4;6
5;False;9;miss;0.4793739318847656;4;6
5;False;10;miss;0.0506742000579834;4;6
5;False;11;near_miss;0.0454409122467041;4;6
5;False;12;miss;0.26563000679016113;4;6
5;False;13;near_miss;0.09727597236633301;4;6
5;False;14;win;0.5723710060119629;4;9
5;False;15;miss;0.2905421257019043;4;9
5;False;16;near_miss;0.3201868534088135;4;9
5;False;17;miss;0.2805318832397461;4;9
5;False;18;win;0.2933187484741211;4;12
5;False;19;miss;0.30156898498535156;4;12
5;False;20;near_miss;0.2561330795288086;4;12
5;False;21;miss;0.6693799495697021;4;12
5;False;22;win;0.03987908363342285;4;15
5;False;23;miss;0.2566111087799072;4;15
5;False;24;near_miss;0.1557009220123291;4;15
5;False;25;near_miss;0.10943317413330078;4;15
5;False;26;near_miss;0.8824629783630371;4;15
5;False;27;near_miss;0.2029266357421875;4;15
5;False;28;win;0.06024599075317383;4;18
5;False;29;miss;0.19313287734985352;4;18
5;False;30;miss;0.1146240234375;4;18
5;False;31;win;0.32042908668518066;4;21
5;False;32;near_miss;0.2614777088165283;4;21
5;False;33;miss;0.031080961227416992;4;21
5;False;34;near_miss;0.429995059967041;4;21
5;False;35;near_miss;0.07489514350891113;4;21
5;False;36;miss;0.37407612800598145;4;21
5;False;37;miss;0.09003472328186035;4;21
5;False;38;miss;0.44680285453796387;4;21
5;False;39;win;0.3532729148864746;4;24
5;False;40;near_miss;0.17139768600463867;4;24
5;False;41;miss;0.18004798889160156;4;24
5;False;42;win;0.1962580680847168;4;27
5;False;43;win;0.26718592643737793;4;30
5;False;44;miss;0.14111709594726562;4;30
5;False;45;win;0.2996506690979004;4;33
5;False;46;miss;11.42363429069519;4;34
5;False;47;miss;0.32111692428588867;4;34
5;False;48;miss;0.022811174392700195;4;34
5;False;49;miss;0.00013303756713867188;4;34
5;False;50;miss;0.08057379722595215;4;34
6;True;1;win;;3;3
6;True;2;near_miss;;3;3
6;True;3;near_miss;;3;3
6;True;4;miss;;3;3
6;True;5;near_miss;;3;3
6;True;6;win;;3;6
6;True;7;miss;;3;6
6;True;8;win;;3;9
6;True;9;miss;;3;9
6;True;10;miss;;3;9
6;True;11;miss;;3;9
6;True;12;miss;;3;9
6;True;13;miss;;3;9
6;True;14;near_miss;;3;9
6;True;15;win;;3;12
6;True;16;near_miss;;3;12
6;True;17;miss;;3;12
6;True;18;miss;;3;12
6;True;19;win;;3;15
6;True;20;miss;;3;15
6;True;21;near_miss;;3;15
6;True;22;win;;3;18
6;True;23;miss;;3;18
6;True;24;miss;;3;18
6;True;25;miss;;3;18
6;True;26;miss;;3;18
6;True;27;miss;;3;18
6;True;28;win;;3;21
6;True;29;win;;3;24
6;True;30;miss;;3;24
6;True;31;win;;3;27
6;True;32;win;;3;30
6;True;33;miss;;3;30
6;True;34;near_miss;;3;30
6;True;35;win;;3;33
6;True;36;win;;3;36
6;True;37;miss;;3;36
6;True;38;miss;;3;36
6;True;39;near_miss;;3;36
6;True;40;miss;;3;36
6;True;41;miss;;3;36
6;True;42;miss;;3;36
6;True;43;miss;;3;36
6;True;44;miss;;3;36
6;True;45;miss;;3;36
7;False;1;win;1.240055799484253;5;3
7;False;2;miss;0.8415710926055908;5;3
7;False;3;win;0.15804123878479004;5;6
7;False;4;win;0.055880069732666016;5;9
7;False;5;miss;0.1599740982055664;5;9
7;False;6;miss;0.1445939540863037;5;9
7;False;7;win;0.32735490798950195;5;12
7;False;8;win;0.2568187713623047;5;15
7;False;9;miss;0.10704898834228516;5;15
7;False;10;near_miss;0.2206709384918213;5;15
7;False;11;win;0.16506385803222656;5;18
7;False;12;near_miss;0.21008586883544922;5;18
7;False;13;miss;0.050521135330200195;5;18
7;False;14;win;0.3933849334716797;5;21
7;False;15;win;3.453305244445801;5;24
7;False;16;miss;0.319425106048584;5;24
7;False;17;miss;0.2916858196258545;5;24
7;False;18;win;0.2125840187072754;5;27
7;False;19;miss;0.06607699394226074;5;27
7;False;20;miss;0.007699012756347656;5;27
7;False;21;win;0.003865957260131836;5;30
7;False;22;miss;0.059181928634643555;5;30
7;False;23;win;0.27106308937072754;5;33
7;False;24;miss;0.3930799961090088;5;33
7;False;25;miss;0.09691166877746582;5;33
7;False;26;miss;0.020107030868530273;5;33
7;False;27;win;0.16300296783447266;5;36
7;False;28;win;0.07044100761413574;5;39
7;False;29;miss;0.19104576110839844;5;39
7;False;30;miss;0.4060249328613281;5;39
7;False;31;miss;0.13569998741149902;5;39
7;False;32;near_miss;0.3175168037414551;5;39
7;False;33;win;0.21535110473632812;5;42
7;False;34;miss;0.16956806182861328;5;42
7;False;35;miss;0.873664140701294;5;42
7;False;36;miss;0.1780838966369629;5;42
7;False;37;near_miss;0.32181811332702637;5;42
7;False;38;win;0.22260403633117676;5;45
7;False;39;win;0.2516500949859619;5;48
7;False;40;miss;0.4361107349395752;5;48
7;False;41;miss;0.19010114669799805;5;48
7;False;42;win;0.03638291358947754;5;51
7;False;43;win;0.08479499816894531;5;54
7;False;44;miss;0.24455022811889648;5;54
7;False;45;win;1.109908103942871;5;57
7;False;46;miss;1.876668930053711;5;58
7;False;47;miss;0.1486809253692627;5;58
7;False;48;miss;8.388194799423218;5;58
7;False;49;near_miss;0.2031722068786621;5;58
7;False;50;miss;0.1323988437652588;5;58
8;True;1;near_miss;;2;0
8;True;2;near_miss;;2;0
8;True;3;miss;;2;0
8;True;4;miss;;2;0
8;True;5;miss;;2;0
8;True;6;near_miss;;2;0
8;True;7;near_miss;;2;0
8;True;8;near_miss;;2;0
8;True;9;near_miss;;2;0
8;True;10;miss;;2;0
8;True;11;near_miss;;2;0
8;True;12;win;;2;3
8;True;13;miss;;2;3
8;True;14;near_miss;;2;3
8;True;15;miss;;2;3
